['526116025-0', 7, ['喜欢', '盈盈', '好听', '加油', '超级', '支持', '声音', '妹妹', '真实', 'call']]
['526157216-0', 7, ['好听', '喜欢', '日推', '打卡', '开口', '评论', '前奏', '不错', '助攻', '听歌']]
['526997296-0', 7, ['喜欢', '好听', '声音', '单曲循环', '日推', '有毒', '前奏', '哈哈哈哈', '歌词', '厉害']]
['527957770-0', 7, ['好听', '喜欢', '晚安', '苏琛', '声音', '新年快乐', '好好', '加油', 'call', '原唱']]
['529930900-1', 7, ['好听', '喜欢', 'cool', '开口', '牛奶', '加油', '评论', '棒棒', '开头', '好好']]
['529930900-2', 7, ['好听', '喜欢', 'cool', '评论', '开头', '开口', '前奏', '打卡', '不错', '红心']]
['529987899-0', 7, ['好听', '宝藏', '发现', '喜欢', '评论', '开口', '做不来', '翻译', '火钳刘明', '出不来']]
['530273621-0', 7, ['好听', '喜欢', '前奏', '加油', '毛病', '留名', '单曲循环', '厉害', '扎心', '好好']]
['531051586-0', 7, ['喜欢', '好听', '前奏', '厉害', '声音', '单曲循环', '不错', '光泽', '好好', '网易云']]
['534514698-0', 7, ['好听', '日推', '喜欢', '评论', '开口', '打卡', '留名', '循环', '声音', '简直']]
